Date,Open,High,Low,Close,Adj Close,Volume
2019-03-18,30.139999,30.139999,30.030001,30.120001,29.325169,900900
2019-03-19,30.320000,30.320000,30.110001,30.190001,29.393322,588200
2019-03-20,30.180000,30.400000,29.959999,30.280001,29.480947,965800
2019-03-21,29.930000,30.110001,29.910000,30.110001,29.315432,957600
2019-03-22,29.430000,29.480000,29.110001,29.190001,28.419710,827100
2019-03-25,29.170000,29.250000,29.080000,29.190001,28.419710,465200
2019-03-26,29.360001,29.410000,29.250000,29.290001,28.517073,421200
2019-03-27,29.420000,29.450001,29.129999,29.370001,28.594961,465400
2019-03-28,29.230000,29.299999,29.100000,29.230000,28.458654,651400
2019-03-29,29.400000,29.469999,29.270000,29.469999,28.692320,778200
2019-04-01,29.670000,29.820000,29.660000,29.809999,29.023348,650100
2019-04-02,29.719999,29.910000,29.719999,29.879999,29.091499,864500
2019-04-03,30.070000,30.209999,30.049999,30.160000,29.364113,1922500
2019-04-04,30.040001,30.180000,30.040001,30.180000,29.383585,1394000
2019-04-05,30.170000,30.280001,30.150000,30.250000,29.451738,1805500
2019-04-08,30.340000,30.340000,30.230000,30.270000,29.471210,269600
2019-04-09,30.190001,30.190001,30.040001,30.049999,29.257013,1805600
2019-04-10,30.070000,30.250000,30.049999,30.180000,29.383585,3655700
2019-04-11,30.299999,30.370001,30.200001,30.270000,29.471210,790000
2019-04-12,30.540001,30.570000,30.480000,30.559999,29.753555,412400
2019-04-15,30.570000,30.580000,30.500000,30.570000,29.763292,308600
2019-04-16,30.629999,30.670000,30.610001,30.639999,29.831446,278700
2019-04-17,30.830000,30.870001,30.770000,30.860001,30.045641,384500
2019-04-18,30.770000,30.879999,30.740000,30.780001,29.967751,416600
2019-04-22,30.760000,31.340000,30.750000,30.870001,30.055376,447800
2019-04-23,30.670000,30.790001,30.639999,30.760000,29.948278,553500
2019-04-24,30.610001,30.670000,30.500000,30.590000,29.782764,610500
2019-04-25,30.389999,30.469999,30.340000,30.469999,29.665932,470600
2019-04-26,30.520000,30.590000,30.440001,30.540001,29.734085,413600
2019-04-29,30.600000,30.760000,30.570000,30.760000,29.948278,328300
2019-04-30,30.760000,30.900000,30.680000,30.889999,30.074846,585600
2019-05-01,30.920000,31.030001,30.680000,30.690001,29.880127,1307300
2019-05-02,30.680000,30.680000,30.459999,30.520000,29.714613,1366100
2019-05-03,30.559999,30.719999,30.549999,30.719999,29.909334,416800
2019-05-06,30.020000,30.400000,30.010000,30.389999,29.588043,943200
2019-05-07,30.020000,30.020000,29.639999,29.719999,28.935722,1079000
2019-05-08,29.879999,30.030001,29.840000,29.930000,29.140181,796500
2019-05-09,29.510000,29.790001,29.500000,29.760000,28.974669,720900
2019-05-10,29.709999,29.980000,29.580000,29.950001,29.159655,502700
2019-05-13,29.299999,29.350000,29.170000,29.240000,28.468391,2017500
2019-05-14,29.490000,29.719999,29.469999,29.629999,28.848097,1188200
2019-05-15,29.350000,29.830000,29.350000,29.799999,29.013611,1205000
2019-05-16,29.820000,30.139999,29.809999,30.070000,29.276485,367200
2019-05-17,29.870001,30.020000,29.860001,29.910000,29.120708,481600
2019-05-20,29.540001,29.750000,29.459999,29.600000,28.818890,458000
2019-05-21,29.760000,29.840000,29.670000,29.809999,29.023348,616600
2019-05-22,29.639999,29.780001,29.639999,29.660000,28.877306,679000
2019-05-23,29.180000,29.299999,29.070000,29.260000,28.487864,747700
2019-05-24,29.559999,29.639999,29.520000,29.639999,28.857834,700300
2019-05-28,29.650000,29.700001,29.290001,29.290001,28.517073,667900
2019-05-29,28.969999,29.040001,28.889999,29.030001,28.263931,327500
2019-05-30,29.070000,29.200001,29.049999,29.200001,28.429447,1061000
2019-05-31,28.809999,29.010000,28.760000,29.000000,28.234722,987700
2019-06-03,29.150000,29.290001,29.040001,29.219999,28.448917,1261700
2019-06-04,29.530001,29.629999,29.450001,29.590000,28.809155,872400
2019-06-05,29.770000,29.770000,29.629999,29.660000,28.877306,647100
2019-06-06,29.740000,29.760000,29.600000,29.680000,28.896780,464700
2019-06-07,30.260000,30.450001,30.209999,30.309999,29.510155,1354000
2019-06-10,30.340000,30.400000,30.270000,30.379999,29.578306,1753200
2019-06-11,30.700001,30.709999,30.490000,30.570000,29.763292,1631500
2019-06-12,30.430000,30.459999,30.270000,30.280001,29.480947,426000
2019-06-13,30.330000,30.330000,30.230000,30.270000,29.471210,834500
2019-06-14,30.070000,30.090000,30.000000,30.049999,29.257013,273600
2019-06-17,29.440001,29.570000,29.410000,29.459999,29.396713,351300
2019-06-18,29.930000,30.139999,29.930000,30.049999,29.985445,3280300
2019-06-19,30.170000,30.340000,30.110001,30.270000,30.204973,772800
2019-06-20,30.600000,30.639999,30.410000,30.540001,30.474394,2129200
2019-06-21,30.440001,30.580000,30.389999,30.469999,30.404543,1537600
2019-06-24,30.620001,30.650000,30.559999,30.570000,30.504330,592800
2019-06-25,30.620001,30.650000,30.400000,30.440001,30.374609,1468900
2019-06-26,30.520000,30.520000,30.389999,30.400000,30.334694,541400
2019-06-27,30.430000,30.540001,30.389999,30.430000,30.364630,5432600
2019-06-28,30.600000,30.760000,30.600000,30.650000,30.584156,1136300
2019-07-01,30.879999,30.900000,30.610001,30.670000,30.604115,1057700
2019-07-02,30.670000,30.750000,30.650000,30.690001,30.624071,868000
2019-07-03,30.920000,30.980000,30.889999,30.969999,30.903469,717500
2019-07-05,30.660000,30.700001,30.480000,30.660000,30.594135,4038800
2019-07-08,30.530001,30.580000,30.490000,30.540001,30.474394,780500
2019-07-09,30.410000,30.510000,30.370001,30.500000,30.434479,603300
2019-07-10,30.660000,30.730000,30.520000,30.610001,30.544245,1847100
2019-07-11,30.629999,30.650000,30.420000,30.480000,30.414522,677000
2019-07-12,30.570000,30.639999,30.520000,30.620001,30.554222,753100
2019-07-15,30.650000,30.700001,30.620001,30.660000,30.594135,340900
2019-07-16,30.680000,30.760000,30.600000,30.620001,30.554222,937600
2019-07-17,30.690001,30.690001,30.459999,30.480000,30.414522,960700
2019-07-18,30.459999,30.590000,30.340000,30.559999,30.494350,837400
2019-07-19,30.469999,30.510000,30.330000,30.410000,30.344673,786000
2019-07-22,30.459999,30.490000,30.389999,30.450001,30.384588,497000
2019-07-23,30.620001,30.690001,30.570000,30.650000,30.584156,1164200
2019-07-24,30.510000,30.639999,30.500000,30.620001,30.554222,732600
2019-07-25,30.580000,30.580000,30.250000,30.280001,30.214952,837800
2019-07-26,30.490000,30.520000,30.430000,30.430000,30.364630,2571500
2019-07-29,30.549999,30.549999,30.459999,30.510000,30.444458,573400
2019-07-30,30.010000,30.030001,29.889999,29.959999,29.895639,1051800
2019-07-31,30.020000,30.120001,29.540001,29.790001,29.726006,2540200
2019-08-01,29.799999,30.070000,29.530001,29.650000,29.586306,1632300
2019-08-02,29.400000,29.430000,29.070000,29.180000,29.117315,3337100
2019-08-05,28.760000,28.809999,28.400000,28.570000,28.508625,1135400
2019-08-06,28.840000,28.879999,28.629999,28.799999,28.738131,2154600
2019-08-07,28.760000,29.070000,28.680000,29.040001,28.977617,2047600
2019-08-08,29.240000,29.490000,29.190001,29.320000,29.257013,1760500
2019-08-09,29.290001,29.370001,29.120001,29.290001,29.227079,2577600
2019-08-12,29.120001,29.250000,29.000000,29.040001,28.977617,1987700
2019-08-13,28.990000,29.500000,28.930000,29.370001,29.306908,1557000
2019-08-14,28.730000,28.780001,28.440001,28.440001,28.378906,1319500
2019-08-15,28.410000,28.559999,28.280001,28.440001,28.378906,2104300
2019-08-16,28.469999,28.780001,28.469999,28.730000,28.668282,1148300
2019-08-19,29.139999,29.180000,29.020000,29.040001,28.977617,494300
2019-08-20,28.990000,29.040001,28.860001,28.940001,28.877831,582700
2019-08-21,29.510000,29.520000,29.309999,29.320000,29.257013,4828100
2019-08-22,29.320000,29.350000,29.070000,29.160000,29.097359,1491100
2019-08-23,29.030001,29.299999,28.770000,28.770000,28.708197,1528200
2019-08-26,29.020000,29.110001,28.910000,29.040001,28.977617,1326700
2019-08-27,29.190001,29.250000,29.030001,29.049999,28.987595,1303600
2019-08-28,28.870001,29.100000,28.799999,29.000000,28.937702,1292400
2019-08-29,29.379999,29.450001,29.290001,29.379999,29.316885,921200
2019-08-30,29.620001,29.650000,29.350000,29.490000,29.426649,1403600
2019-09-03,29.240000,29.340000,29.150000,29.309999,29.247036,728500
2019-09-04,29.730000,29.850000,29.709999,29.820000,29.755939,899300
2019-09-05,30.219999,30.280001,30.070000,30.100000,30.035339,3315200
2019-09-06,30.120001,30.200001,30.080000,30.080000,30.015381,541800
2019-09-09,30.150000,30.150000,30.070000,30.100000,30.035339,906400
2019-09-10,30.040001,30.190001,29.980000,30.059999,29.995424,1125300
2019-09-11,30.110001,30.200001,30.080000,30.180000,30.115168,1028600
2019-09-12,30.209999,30.530001,30.180000,30.440001,30.374609,1286700
2019-09-13,30.600000,30.610001,30.490000,30.510000,30.444458,675200
2019-09-16,30.200001,30.219999,30.059999,30.090000,30.025360,792400
2019-09-17,30.139999,30.360001,30.120001,30.330000,30.264845,694700
2019-09-18,30.290001,30.410000,30.170000,30.309999,30.244886,410100
2019-09-19,30.520000,30.549999,30.430000,30.430000,30.364630,434900
2019-09-20,30.530001,30.580000,30.400000,30.410000,30.344673,1032500
2019-09-23,30.129999,30.240000,30.100000,30.209999,30.145102,1174200
2019-09-24,30.309999,30.320000,30.059999,30.080000,30.015381,2304400
2019-09-25,29.799999,29.910000,29.650000,29.889999,29.825788,729700
2019-09-26,30.030001,30.080000,29.900000,29.950001,29.885662,2896200
2019-09-27,29.969999,30.100000,29.900000,29.930000,29.865704,1082200
2019-09-30,30.010000,30.180000,30.010000,30.139999,30.075253,696200
2019-10-01,30.080000,30.090000,29.750000,29.780001,29.716026,1552600
2019-10-02,29.270000,29.270000,28.920000,28.980000,28.917744,4288600
2019-10-03,29.120001,29.280001,28.910000,29.250000,29.187164,1926900
2019-10-04,29.309999,29.500000,29.290001,29.500000,29.436628,500300
2019-10-07,29.459999,29.650000,29.459999,29.469999,29.406691,715000
2019-10-08,29.280001,29.309999,29.110001,29.120001,29.057446,973700
2019-10-09,29.410000,29.540001,29.330000,29.469999,29.406691,915000
2019-10-10,29.639999,29.879999,29.570000,29.820000,29.755939,2744200
2019-10-11,30.330000,30.510000,30.299999,30.340000,30.274824,2404000
2019-10-14,30.260000,30.330000,30.209999,30.270000,30.204973,380800
2019-10-15,30.389999,30.760000,30.389999,30.639999,30.574179,982800
2019-10-16,30.620001,30.760000,30.610001,30.670000,30.604115,536400
2019-10-17,30.889999,30.889999,30.670000,30.760000,30.693922,552900
2019-10-18,30.620001,30.719999,30.540001,30.680000,30.614094,756100
2019-10-21,30.799999,30.809999,30.620001,30.690001,30.624071,7375500
2019-10-22,30.639999,30.750000,30.490000,30.530001,30.464417,712300
2019-10-23,30.540001,30.700001,30.530001,30.700001,30.634050,356100
2019-10-24,30.770000,30.830000,30.690001,30.809999,30.743813,786200
2019-10-25,30.780001,30.930000,30.780001,30.920000,30.853577,542300
2019-10-28,31.000000,31.080000,31.000000,31.059999,30.993277,529000
